summer_ARSON,	450
summer_ASSAULT,	17483
summer_BATTERY,	52027
summer_BURGLARY,	18034
summer_CONCEALED CARRY LICENSE VIOLATION,	6
summer_CRIM SEXUAL ASSAULT,	1283
summer_CRIMINAL DAMAGE,	29959
summer_CRIMINAL TRESPASS,	7065
summer_DECEPTIVE PRACTICE,	11847
summer_GAMBLING,	911
summer_HOMICIDE,	489
summer_HUMAN TRAFFICKING,	3
summer_INTERFERENCE WITH PUBLIC OFFICER,	1310
summer_INTIMIDATION,	142
summer_KIDNAPPING,	209
summer_LIQUOR LAW VIOLATION,	420
summer_MOTOR VEHICLE THEFT,	11818
summer_NARCOTICS,	28134
summer_NON - CRIMINAL,	7
summer_NON-CRIMINAL,	14
summer_OBSCENITY,	20
summer_OFFENSE INVOLVING CHILDREN,	1813
summer_OTHER NARCOTIC VIOLATION,	8
summer_OTHER OFFENSE,	15869
summer_PROSTITUTION,	1762
summer_PUBLIC INDECENCY,	15
summer_PUBLIC PEACE VIOLATION,	2626
summer_ROBBERY,	11201
summer_SEX OFFENSE,	957
summer_STALKING,	146
summer_THEFT,	66584
summer_WEAPONS VIOLATION,	3407
winter_ARSON,	261
winter_ASSAULT,	12230
winter_BATTERY,	36848
winter_BURGLARY,	13045
winter_CONCEALED CARRY LICENSE VIOLATION,	2
winter_CRIM SEXUAL ASSAULT,	1035
winter_CRIMINAL DAMAGE,	21232
winter_CRIMINAL TRESPASS,	6217
winter_DECEPTIVE PRACTICE,	10779
winter_GAMBLING,	70
winter_HOMICIDE,	263
winter_HUMAN TRAFFICKING,	5
winter_INTERFERENCE WITH PUBLIC OFFICER,	871
winter_INTIMIDATION,	93
winter_KIDNAPPING,	176
winter_LIQUOR LAW VIOLATION,	364
winter_MOTOR VEHICLE THEFT,	11418
winter_NARCOTICS,	27835
winter_NON - CRIMINAL,	2
winter_NON-CRIMINAL (SUBJECT SPECIFIED),	1
winter_NON-CRIMINAL,	2
winter_OBSCENITY,	27
winter_OFFENSE INVOLVING CHILDREN,	2030
winter_OTHER NARCOTIC VIOLATION,	3
winter_OTHER OFFENSE,	14786
winter_PROSTITUTION,	1636
winter_PUBLIC INDECENCY,	6
winter_PUBLIC PEACE VIOLATION,	1856
winter_ROBBERY,	8002
winter_SEX OFFENSE,	797
winter_STALKING,	117
winter_THEFT,	46473
winter_WEAPONS VIOLATION,	2384
